section,distance_units,weighted_sum,weighted_mean
f1 spiral,10.0,5.953938641747266,0.9725829123851537
f1 spiral,10.864,5.95382550793609,0.9723857360068514
f1 spiral,11.802,5.953695432590356,0.9721689360612559
f1 spiral,12.821,5.953545646639441,0.9719303453882676
f1 spiral,13.928,5.953372902501579,0.9716675231508629
f1 spiral,15.131,5.953173388426855,0.9713777152009838
f1 spiral,16.437,5.952942627092855,0.9710578080166827
f1 spiral,17.857,5.9526753554771545,0.9707042750758704
f1 spiral,19.399,5.952365382447217,0.9703131143176158
f1 spiral,21.074,5.952005419804172,0.9698797750841606
f1 spiral,22.894,5.95158688166471,0.9693990726259787
f1 spiral,24.87,5.951099646031517,0.9688650878764131
f1 spiral,27.018,5.950531771144465,0.9682710497466397
f1 spiral,29.351,5.949869157668522,0.9676091966369638
f1 spiral,31.886,5.949095145891288,0.9668706131826796
f1 spiral,34.639,5.948190034785537,0.966045037421025
f1 spiral,37.63,5.9471305069264115,0.9651206325402689
f1 spiral,40.88,5.945888939690979,0.9640837161007103
f1 spiral,44.41,5.944432578715164,0.9629184380319291
f1 spiral,48.245,5.942722543981121,0.9616063967200517
f1 spiral,52.411,5.940712631810493,0.960126179980705
f1 spiral,56.937,5.938347866975571,0.9584528145010798
f1 spiral,61.854,5.935562747466191,0.9565571031981617
f1 spiral,67.195,5.9322791092688,0.9544048245578686
f1 spiral,72.998,5.92840351856235,0.951955760934038
f1 spiral,79.301,5.923824072207765,0.9491625133358115
f1 spiral,86.149,5.918406451680292,0.9459690474441554
f1 spiral,93.589,5.911989026790907,0.9423088980136188
f1 spiral,101.67,5.904376737827379,0.9381029341974253
f1 spiral,110.45,5.895333389148495,0.9332565531750739
f1 spiral,119.988,5.884571849688238,0.9276561181185924
f1 spiral,130.349,5.871741453551859,0.9211643796681197
f1 spiral,141.605,5.856411589269089,0.9136145017533939
f1 spiral,153.833,5.838049994958823,0.9048021245881438
f1 spiral,167.117,5.81599352468366,0.8944745880500788
f1 spiral,181.549,5.789407908466634,0.8823159073579155
f1 spiral,197.226,5.7572308887711285,0.8679251365564201
f1 spiral,214.257,5.718089251406424,0.8507839337023949
f1 spiral,232.759,5.670172876776695,0.8302054283406605
f1 spiral,252.859,5.611033782378562,0.8052482620973661
f1 spiral,274.694,5.537244265382394,0.7745593873603531
f1 spiral,298.415,5.443763881616553,0.736051624367277
f1 spiral,324.184,5.204457479630005,0.6832435130761565
f1 spiral,352.178,4.720211699022784,0.6105817260388241
f1 spiral,382.59,3.985483154457646,0.5132025504475822
f1 spiral,415.628,3.693697156333015,0.47805779543413696
f1 spiral,451.519,4.097550642494121,0.5389729200021414
f1 spiral,490.51,4.340753102722102,0.5901764402885461
f1 spiral,532.867,4.164415983325757,0.6127864015853999
f1 spiral,578.882,3.9325596395109192,0.6225947089302417
f1 spiral,628.87,3.717572799525266,0.6252908224182934
f1 spiral,683.176,3.5123026778213675,0.6208190292037589
f1 spiral,742.17,3.310505989701907,0.6080389833715448
f1 spiral,806.259,3.105474367244156,0.5844097058768024
f1 spiral,875.883,2.8878249807958536,0.5443477001310829
f1 spiral,951.519,2.369469330035299,0.44940025247874865
f1 spiral,1033.686,1.9078875874897618,0.38489050322705115
f1 spiral,1122.948,1.9615457238977512,0.44920655034318424
f1 spiral,1219.919,1.7752460782521307,0.467299876771734
f1 spiral,1325.263,1.614317853980068,0.477866478538655
f1 spiral,1439.705,1.4723622451613454,0.48492647067828537
f1 spiral,1564.028,1.3456326105472203,0.48998579840970824
f1 spiral,1699.088,1.2316292151837935,0.4937699081882449
f1 spiral,1845.81,1.1285368612204534,0.4966822340812828
f1 spiral,2005.203,1.0349601261752528,0.4989693280591231
f1 spiral,2178.359,0.9497823277074595,0.5007922863978382
f1 spiral,2366.468,0.8720832266756355,0.5022617329889382
f1 spiral,2570.822,0.8010875524326231,0.5034565858649352
f1 spiral,2792.821,0.7361309998110204,0.504434854851455
f1 spiral,3033.992,0.676636754026286,0.5052402111667982
f1 spiral,3295.988,0.622098681156798,0.5059061716536184
f1 spiral,3580.608,0.5720689148020774,0.5064588675365589
f1 spiral,3889.807,0.5261484434093893,0.5069189368523114
f1 spiral,4225.706,0.4839798066368035,0.507302854325692
f1 spiral,4590.611,0.44524131218593177,0.5076238886061326
f1 spiral,4987.027,0.4096423735447454,0.5078928057875746
f1 spiral,5417.675,0.3769196907071589,0.5081183959364143
f1 spiral,5885.511,0.346834076367318,0.5083078734555125
f1 spiral,6393.746,0.31916778456155653,0.5084671857643087
f1 spiral,6945.869,0.29372223641017187,0.5086012541909269
f1 spiral,7545.671,0.27031606416231235,0.5087141639617989
f1 spiral,8197.267,0.2487834137689883,0.5088093154338579
f1 spiral,8905.13,0.2289724600400637,0.5088895454474768
f1 spiral,9674.121,0.21074409863293186,0.5089572253872805
f1 spiral,10509.516,0.1939707867228493,0.5090143409050605
f1 spiral,11417.051,0.178535509939509,0.5090625570775797
f1 spiral,12402.955,0.16433085752564364,0.5091032719051877
f1 spiral,13473.996,0.15125819103846116,0.509137660412749
f1 spiral,14637.524,0.1392268945297297,0.5091667111294773
f1 spiral,15901.528,0.12815369619120573,0.5091912563552053
f1 spiral,17274.682,0.11796205307499885,0.5092119973367758
f1 spiral,18766.414,0.10858159179415941,0.5092295252577982
f1 spiral,20386.962,0.0999475991523588,0.5092443387722607
f1 spiral,22147.451,0.09200055749947372,0.5092568586760122
f1 spiral,24059.963,0.08468572030492297,0.5092674402014787
f1 spiral,26137.629,0.07795272401526658,0.5092763833339109
