scroll,width,slices,inside_as_is,inside_fixed,jump_med_as_is_pct,jump_med_fixed_pct,jump_max_fixed_pct,seed_spread_pct,centroid_med_pct,interior_max,interior_max_as_is
PHerc0125,8387.0,24,2,24,78.5194842869621,3.2104413195876136,8.974306809547816,0.7150761604344323,2.851436273524928,True,True
PHerc0175A,9363.0,24,24,24,2.8618956232628245,2.1542912891917347,29.69873476110685,0.4950742460441462,2.7808343767950983,True,True
PHerc0175B,9613.0,24,22,24,6.757485479236956,5.854901720341977,52.30323703998663,0.43597212108602784,6.080999765343572,True,True
PHerc0191,8387.0,24,24,24,8.082259739789544,4.495533976022731,21.203767576211796,0.6458619739037794,7.1873007784976135,True,True
PHerc0211,7948.0,24,9,24,41.87219922981628,5.1136510567322615,24.245455659534933,0.28574870734872243,3.508864124371701,True,True
PHerc0257,8388.0,24,18,24,10.702395748604635,4.520187077807099,20.690173660552425,0.33694822142127256,4.09248633790384,True,True
PHerc0268,12145.0,24,21,24,7.488661135322066,7.543462481784407,30.953104183858184,0.860764503910837,9.105740332723906,True,True
PHerc0306B,8849.0,24,20,24,12.770769087023815,4.667661429703647,12.557681185777467,0.6706230285807205,4.283461033758773,True,True
PHerc0332,3941.0,24,24,24,0.9558424375471705,1.2895548024238568,19.230284906816998,0.14234389609757517,1.6918690744756377,True,True
PHerc0343,8595.0,24,21,24,5.552127697479809,4.301216460288889,23.315314502253504,0.42087846915962884,5.162150458721235,True,True
PHerc0358,7783.0,24,14,24,16.524370514037724,4.925401606017311,13.06623484270773,0.5342112084226739,6.616153412449332,False,True
PHerc0483A,8849.0,24,11,24,39.65774907638411,6.415708322259404,14.21805060195875,0.4401108052921327,6.612686522917693,True,True
PHerc0483B,8343.0,24,21,24,8.248893484718426,6.134164315333819,21.59030465413103,0.4609941804549329,6.225175149853267,True,True
PHerc0490A,9101.0,24,19,24,12.587323747395226,9.095749833719042,32.582072243847776,0.39297879353917264,7.338887497645646,True,True
PHerc0490B,8343.0,24,1,24,129.02572173418636,9.623048673882163,30.531728610581258,0.6294430033442184,6.81874948747685,True,True
PHerc0800,9867.0,24,20,24,7.366454659353791,4.57658334352787,15.156182962066504,0.4992069003401548,4.808424247999412,True,True
PHerc0813,7947.0,24,21,24,6.102600649495194,7.083844611350839,46.15657220233352,0.5584756497194825,5.3696145306382395,True,True
PHerc0826,8169.0,24,8,24,17.15751951992883,4.806328036396326,21.40903254287315,0.4257315406378487,5.0789226238226615,True,True
PHerc0846A,7726.0,24,5,24,178.5682989719648,6.814282884023536,30.55341540668037,1.1817402345885948,5.91532143847457,True,True
PHerc0846B,7859.0,24,3,24,241.6929631864748,9.182285006117112,26.20121233111112,0.6997709632268723,5.613300321593479,True,True
PHerc1203,6844.0,24,15,24,7.768657251918204,4.249777350464361,33.254918605621235,0.5407376055918616,4.44038866418378,True,True
PHerc1218,7593.0,24,5,24,155.34496549732194,4.388818699164194,26.076245909512263,0.6747544855378641,3.1004301510231325,True,False
PHerc1447,8343.0,24,12,24,32.86464727611443,4.41593241983902,17.28960514227344,0.5094098742039275,4.295552837182252,True,True
PHerc1545,7506.0,24,10,24,86.67053213873736,5.5749891141312,19.500451084033198,0.3224921574122826,3.827272241204436,True,True
