scroll,width,slices,inside_as_is,inside_fixed,jump_med_as_is_pct,jump_med_fixed_pct,jump_max_fixed_pct,seed_spread_pct,centroid_med_pct,interior_max,interior_max_as_is
PHerc0125,8387.0,24,2,24,80.19521190415036,2.7582583207841713,12.497436015696026,0.5409524944153237,2.851436273524928,True,True
PHerc0175A,9363.0,24,24,24,3.2277390981787493,1.95879092647399,31.731312370871773,0.360052392506177,2.7808343767950983,True,True
PHerc0175B,9613.0,24,22,24,6.523295966134584,6.188756284942913,59.801818710752585,0.5342708448872767,6.080999765343572,True,True
PHerc0191,8387.0,24,24,24,7.145459523295477,5.714664729184703,20.42767991068332,0.4755790666863993,7.1873007784976135,True,True
PHerc0211,7948.0,24,9,24,50.330787265214816,5.435090202322364,20.45592426689686,0.294054914026652,3.508864124371701,True,True
PHerc0257,8388.0,24,18,24,9.176647113637229,4.8134578547124525,20.93272784140708,0.24050517975761243,4.09248633790384,True,True
PHerc0268,12145.0,24,21,24,6.3470268956244595,8.71683538786211,30.754684822118772,0.7143197690679229,9.105740332723906,True,True
PHerc0306B,8849.0,24,19,24,14.956633472472788,3.8867764204362834,10.577392078908954,0.4830748377206629,4.283461033758773,True,True
PHerc0332,3941.0,24,24,24,1.0511753293384594,1.2089504748651956,9.453638853804522,0.09088592193893807,1.6918690744756377,True,True
PHerc0343,8595.0,24,20,24,6.720366487849002,5.175072730484517,22.621594856414294,0.3171890335533313,5.162150458721235,True,True
PHerc0358,7783.0,24,15,24,17.94193398430038,6.612376040395373,18.030122321721365,0.3616181336013389,6.616153412449332,False,True
PHerc0483A,8849.0,24,10,24,40.93846612664751,3.8757670786366334,14.409332879644683,0.39628099216051177,6.612686522917693,True,True
PHerc0483B,8343.0,24,21,24,9.886133201249972,5.967234567047641,30.021852422996897,0.5390322785665704,6.225175149853267,True,True
PHerc0490A,9101.0,24,19,24,7.136248578036033,6.203655025148121,31.54070694121924,0.39293965524701985,7.338887497645646,True,True
PHerc0490B,8343.0,24,1,24,104.25649637652815,9.02445544388662,30.103531770796803,0.5280277780307374,6.81874948747685,True,True
PHerc0800,9867.0,24,20,24,7.633060500873806,5.021492737403802,17.505165013833754,0.5046961713905562,4.808424247999412,True,True
PHerc0813,7947.0,24,23,24,6.546204459232299,4.720665066027463,49.06920805436879,0.473817036650719,5.3696145306382395,True,True
PHerc0826,8169.0,24,8,24,18.327580039820848,4.76183086733326,22.203712579979076,0.6924550458370223,5.0789226238226615,True,True
PHerc0846A,7726.0,24,6,24,149.60346725020892,5.088405805211208,28.0439617782438,0.4957650702210347,5.91532143847457,True,True
PHerc0846B,7859.0,24,3,24,198.2306618612991,6.35735199872436,22.29513877632404,0.5424291094371707,5.613300321593479,True,True
PHerc1203,6844.0,24,15,24,8.42238867605448,5.22746670645635,33.9844247827088,0.5562703519139626,4.44038866418378,True,True
PHerc1218,7593.0,24,5,24,100.35003456309444,3.86277579159857,26.12511004697849,0.4234481177600637,3.1004301510231325,True,False
PHerc1447,8343.0,24,12,24,33.991211017097754,4.868537707375123,15.016985377299298,0.4700780043256507,4.295552837182252,True,True
PHerc1545,7506.0,24,10,24,91.30544802424465,4.394298909112138,24.00488597764799,0.4292339786871564,3.827272241204436,True,True
